Name,Headshot
"Agarwal, Shivani",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Q4ErnU4AAAAJ&citpid=1
"Lama A. Al-Aswad, MD, MPH",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GItNNZ8AAAAJ&citpid=1
"Agarwal, Ritesh",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qK4q4IUAAAAJ&citpid=1
"Arratia, Paulo E.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=xOgTiJgAAAAJ&citpid=1
"Angel, Sebastian",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=pNaNj8EAAAAJ&citpid=1
"Alur, Rajeev",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ZvLa1RIAAAAJ&citpid=3
"Barash, Yoseph",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=U5G4TJAAAAAJ&citpid=2
"Baker, Ryan",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=hvs8PEoAAAAJ&citpid=6
"Bargatin, Igor",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=pBNmVHAAAAAJ&citpid=4
"Bassett, Lee C.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=KL2VpfUAAAAJ&citpid=1
"Bastani, Osbert",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ZbUfUMoAAAAJ&citpid=2
"Boerckel, Joel D.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=o_a5zckAAAAJ&citpid=4
"Bau, Haim H.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fdwMpUoAAAAJ&citpid=2
"Bowman, Greg",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=zXobc4MAAAAJ&citpid=10
"Bugaj, Lukasz",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1RI7H7YAAAAJ&citpid=2
"Bassett, Dani S.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=siYpAPsAAAAJ&citpid=11
"Carroll, Devin",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=5pEXV-IAAAAJ&citpid=1
"Callison-Burch, Chris",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=nv-MV58AAAAJ&citpid=8
"Chatterjee, Pranam",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XExgv9YAAAAJ&citpid=3
"Carpick, Robert W.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RxDqOsoAAAAJ&citpid=2
"Chaudhari, Pratik",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=c_z5hWEAAAAJ&citpid=6
"Chen, Yuxin",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RtNVud4AAAAJ&citpid=4
"Cormode, David",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9G_OOGkAAAAJ&citpid=2
"Crocker, John C.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=NLH31KIAAAAJ&citpid=4
"Cullen, D. Kacy",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Rj159r4AAAAJ&citpid=3
"Composto, Russell J.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yu95z48AAAAJ&citpid=2
"Daniilidis, Konstantinos",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=dGs2BcIAAAAJ&citpid=5
"Davies, Peter F.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=C1tFHRoAAAAJ&citpid=9
"De, Anindya",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lPM8k54AAAAJ&citpid=2
"Davies, Peter K.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=s_Lf1DwAAAAJ&citpid=2
"Fuente, Cesar de la",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=N2OdcFYAAAAJ&citpid=2
"Devietti, Joseph",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0o1C8ykAAAAJ&citpid=1
"Davatzikos, Christos",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RId1qZ8AAAAJ&citpid=7
"Durian, Douglas",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=YgFOewgAAAAJ&citpid=4
"Eaton, Eric",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QIZWnnQAAAAJ&citpid=4
"Diamond, Scott L.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=THLnamEAAAAJ&citpid=2
"Fakhraai, Zahra",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vC51jZwAAAAJ&citpid=9
"Farmer, Thomas",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=xWANiPUAAAAJ&citpid=2
"Figueroa, Nadia",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1NQRXHQAAAAJ&citpid=6
"Discher, Dennis E.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lPBKlS8AAAAJ&citpid=2
"Gardner, Jacob",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0gkajvEAAAAJ&citpid=1
"Gao, Xue (Sherry)",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=uuc4jzoAAAAJ&citpid=29
"Engheta, Nader",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vlaNppcAAAAJ&citpid=3
"Goel, Surbhi",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Zqz4CQoAAAAJ&citpid=1
